Ntasks	Overhead	Overhead per task
2	0.2617		0.1308
4	0.5088		0.1272
6	0.7541		0.1257
8	0.9944		0.1243
10	1.2403		0.1240
12	1.4814		0.1235
14	1.7221		0.1230
16	1.9584		0.1224
18	2.2083		0.1227
20	2.4515		0.1226
22	2.6933		0.1224
24	2.9384		0.1224
26	3.1868		0.1226
28	3.4197		0.1221
30	3.6562		0.1219
32	3.9062		0.1221
34	4.1491		0.1220
36	4.3931		0.1220
38	4.6344		0.1220
40	4.8785		0.1220
42	5.1249		0.1220
44	5.3654		0.1219
46	5.6045		0.1218
48	5.8447		0.1218
50	6.0872		0.1217
52	6.3376		0.1219
54	6.5780		0.1218
56	6.8176		0.1217
58	7.0615		0.1217
60	7.3022		0.1217
62	7.5559		0.1219
64	7.7893		0.1217
